,title,year,certificate,duration,genre,rating,description,votes
959,Lilyhammer,(2012–2014),TV-MA,45 min,"Comedy, Crime, Drama",7.9,A New York mobster goes into hiding in rural Lillehammer in Norway after testifying against his former associates.,"29,675"
960,Winx Club,(2004–2019),TV-Y7,25 min,"Animation, Action, Adventure",6.1,"At Alfea College, fairy warriors from all over the universe study and train to improve their magic powers. Bloom, a girl from Earth, joins them after discovering her own special abilities.","7,005"
961,The Adventures of Sharkboy and Lavagirl 3-D,(2004),PG,93 min,"Action, Adventure, Comedy",3.6,A young boy is recruited by his imaginary friends Sharkboy and Lavagirl to help save their planet.,"38,137"
962,Takers,(2010),PG-13,107 min,"Action, Crime, Drama",6.2,A group of bank robbers find their multi-million dollar plan interrupted by a hard-boiled detective.,"62,903"
963,Black Lightning,(2017–2021),TV-14,43 min,"Action, Drama, Sci-Fi",6.1,A crusading school principal gets back into action as the original African-American electrical superhero.,"25,555"
964,Tuca & Bertie,(2019–2022),TV-MA,26 min,"Animation, Comedy",7.3,The story of two 30-year old bird women who live in the same apartment building.,"7,337"
965,The Lorax,(2012),PG,86 min,"Animation, Adventure, Comedy",6.4,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.","112,998"
966,Velvet Buzzsaw,(2019),R,113 min,"Horror, Mystery, Thriller",5.7,"A satire set in the contemporary art world scene of Los Angeles, where big money artists and mega-collectors pay a high price when art collides with commerce.","61,331"
967,"Re: Zero, Starting Life in Another World",(2016– ),TV-14,24 min,"Animation, Adventure, Drama",8.1,"Shortly after being summoned to a new world, Subaru Natsuki and his new female companion are brutally murdered. But then he awakes to find himself in the same alley, with the same thugs, the same girl, and the day begins to repeat.","18,302"
968,The Old Guard 2,,,,"Action, Adventure, Fantasy",,Plot Unknown. Sequel to The Old Guard (2020).,
969,Bright,(I) (2017),TV-MA,117 min,"Action, Fantasy, Thriller",6.3,A detective must work with an Orc to find a powerful wand before evil creatures do.,"188,766"
970,Swallow,(I) (2019),R,94 min,"Drama, Thriller",6.5,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession.","23,642"
971,Young Lady and Gentleman,(2021– ),,70 min,"Comedy, Drama, Family",6.4,Lee Young Kook is a widower with three children. He decides to hire Park Dan Dan as a live-in tutor for his kids and he becomes attracted to her despite the age difference. Probably because...                See full summary »,213
972,Colombiana,(2011),PG-13,108 min,"Action, Drama, Thriller",6.4,A young girl in Bogotá witnesses her parents' murder and grows up to be a stone-cold assassin.,"101,670"
973,Katla,(2021– ),TV-MA,,"Drama, Mystery, Sci-Fi",7.0,"One year after the violent eruption of the subglacial volcano Katla, the peace and tranquility in the small town of Vik is dramatically disturbed.","13,775"
974,StartUp,(2016–2018),Not Rated,44 min,"Crime, Thriller",7.8,"A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.","29,045"
975,Capitani,(2019–2022),TV-MA,312 min,"Crime, Drama, Mystery",6.6,"In a Luxembourg village where everyone is keeping secrets, gruff police inspector Luc Capitani investigates the suspicious death of a 15-year-old girl.","5,386"
976,Mother/Android,(2021),R,110 min,"Drama, Sci-Fi, Thriller",4.9,"In a post-apocalyptic world rocked by a violent android uprising, a young pregnant woman and her boyfriend desperately search for safety.","18,609"
977,Aileen Wuornos: American Boogeywoman,(2021),R,85 min,"Drama, Horror, Thriller",3.7,"Based on Aileen Wuornos's early life, America's most notorious female serial killer, back in 1976 a young Aileen arrives in Florida searching for a new life that will help her escape her ...                See full summary »","1,667"
978,The Three-Body Problem,,,60 min,"Adventure, Drama, Fantasy",,Humanity's first contact with an alien civilization.,
979,Mercury Rising,(1998),R,111 min,"Action, Crime, Drama",6.1,Shadowy elements in the NSA target a nine-year old autistic savant for death when he is able to decipher a top secret code.,"74,419"
980,Murderville,(2022– ),TV-MA,33 min,"Comedy, Crime, Mystery",6.8,Eccentric detective Terry Seattle teams up with clueless celebrity guest stars to investigate a series of murders in this improvisational crime comedy.,"12,015"
981,The Highwaymen,(2019),R,132 min,"Biography, Crime, Drama",6.9,The untold true story of the legendary detectives who brought down Bonnie and Clyde.,"91,163"
982,Child's Play,(2019),R,90 min,"Drama, Horror, Sci-Fi",5.7,"A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature.","51,894"
983,Prey,(VI) (2021),TV-MA,87 min,"Adventure, Drama, Thriller",4.3,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,"7,747"
984,Miss Fisher's Murder Mysteries,(2012–2015),TV-PG,60 min,"Crime, Drama, History",8.2,"A female sleuth sashays through the back lanes and jazz clubs of Melbourne in the late 1920s, fighting injustice with her pearl-handled pistol and her dagger-sharp wit.","16,127"
985,Roman Empire,(2016–2019),TV-MA,48 min,"Documentary, Biography, Drama",7.0,Chronicles some of the most famous leaders of the Roman Civilization.,"7,899"
986,Child 44,(2015),R,137 min,"Crime, Drama, History",6.4,A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.,"71,468"
987,The Rain,(2018–2020),TV-MA,45 min,"Drama, Sci-Fi, Thriller",6.3,"After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety.","36,959"
988,Fatherhood,(I) (2021),PG-13,109 min,"Comedy, Drama",6.6,A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.,"37,606"
989,The Staircase,(2004–2018),TV-MA,629 min,"Documentary, Crime, Drama",7.8,The high-profile murder trial of American novelist Michael Peterson following the death of his wife in 2001.,"24,588"
990,86,(2021–2022),TV-14,24 min,"Animation, Action, Drama",8.2,"The Republic of San Magnolia is at war with its neighboring country, the Empire of Giad. Both sides use unmanned drones to conduct a ""war without casualties"". The story follows Lena as she commands a squad of drones called the 86.","4,465"
991,You're Nothing Special,(2022– ),TV-MA,35 min,"Comedy, Fantasy",5.6,"After moving from Barcelona to her mom's boring town, Amaia discovers she may have inherited powers from her grandmother, rumored to have been a witch.",209
992,RuPaul's Secret Celebrity Drag Race,(2020– ),TV-14,63 min,"Game-Show, Reality-TV",6.8,"Three celebrities compete every episode and undergo complete drag transformations. In the end, one celebrity is crowned America's Next Celeb Drag Superstar and wins prize money for their charity of choice.","1,675"
993,From Dusk Till Dawn: The Series,(2014–2016),TV-MA,45 min,"Action, Crime, Fantasy",6.8,A Texas Ranger is in hot pursuit of the infamous Gecko brothers and their hostages. They all end up trapped in a desert bar secretly run by vampires and discover a vampire conspiracy.,"20,612"
994,Toy Boy,(2019– ),TV-MA,,"Action, Adventure, Crime",6.5,A stripper sets out to prove his innocence for a crime he didn't commit and was unjustly incarcerated for seven years earlier.,"7,671"
995,Hold Tight,(2022),TV-MA,284 min,"Crime, Drama, Mystery",6.1,"When a young man goes missing soon after his friend dies, life in a tight-knit, affluent Warsaw suburb slowly unravels, exposing secrets and lies.","2,662"
996,Fairy Tail,(2009–2019),TV-14,24 min,"Animation, Action, Adventure",7.9,"Lucy, an aspiring Celestial Wizard, becomes a friend and ally to powerful wizards Natsu, Gray, and Erza, who are part of the (in)famous wizard guild, Fairy Tail.","24,692"
997,Fidelity,(2022– ),TV-MA,40 min,"Drama, Romance",6.4,"A seemingly happy marriage begins to dissolve when the husband's faithfulness is called into question, and both spouses become tempted by other desires.","1,700"
998,13: The Musical,(2022),PG,91 min,"Comedy, Drama, Family",5.2,"After his parents' divorce, Evan Goldman moves from NYC to small-town Indiana. As his 13th birthday nears, he must master the complex social circles of his new school and win friends by turning his Bar Mitzvah into the coolest party ever.",595
999,Untold: The Race of the Century,(2022),,83 min,"Documentary, Sport",7.3,"The Australia II yacht crew looks back on the motivation, dedication and innovation that led to their historic victory at the 1983 America's Cup.",459
1000,Spy Kids 3: Game Over,(2003),PG,84 min,"Action, Adventure, Comedy",4.3,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.","60,653"
1001,All the Bright Places,(2020),TV-MA,107 min,"Drama, Romance",6.5,"The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something.","31,536"
1002,A Classic Horror Story,(2021),TV-MA,95 min,"Drama, Horror, Mystery",5.7,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.","18,171"
1003,Resident Evil: The Final Chapter,(2016),R,107 min,"Action, Horror, Sci-Fi",5.5,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.","94,352"
1004,Once Upon a Time in Mexico,(2003),R,102 min,"Action, Crime, Thriller",6.3,"Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general.","162,527"
1005,El Chapo,(2017–2018),TV-MA,43 min,"Biography, Crime, Drama",7.8,"A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power during the '90s as the head of the Sinaloa Cartel and his ultimate downfall in 2016.","18,453"
1006,Continuum,(I) (2012–2015),TV-14,45 min,"Action, Sci-Fi, Thriller",7.6,A detective from the year 2077 finds herself trapped in present-day Vancouver and searching for ruthless criminals from the future.,"61,028"
1007,Worth,(2020),PG-13,118 min,"Biography, Drama, History",6.8,"An attorney in Washington D.C. battles against cynicism, bureaucracy and politics to help the victims of 9/11.","14,516"
1008,This Is England,(2006),Not Rated,101 min,"Crime, Drama",7.7,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.","122,393"
1009,Eye See You,(2002),R,96 min,"Crime, Thriller",5.3,A lead detective being stalked by a serial killer is asked to check into a clinic treating law enforcement officials who can't face their jobs.,"27,280"
1010,Dr. Stone,(2019– ),TV-14,24 min,"Animation, Action, Adventure",8.1,"Awakened into a world where humanity has been petrified, scientific genius Senku and his brawny friend Taiju use their skills to rebuild civilization.","19,439"
1011,Kiki's Delivery Service,(1989),G,103 min,"Animation, Adventure, Family",7.8,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.","143,858"
1012,Awake,(III) (2021),TV-MA,96 min,"Action, Adventure, Drama",4.9,"After a devastating global event wiped out all electronics and eliminated people's ability to sleep, a former soldier may have found a solution with her daughter.","21,862"
1013,One Day at a Time,(2017–2020),TV-PG,30 min,"Comedy, Drama",8.1,"Follows three generations of the same Cuban-American family living in the same house: a newly divorced former military mother, her teenage daughter and tween son, and her old-school mother.","16,483"
1014,Kyle XY,(2006–2009),TV-14,60 min,"Drama, Mystery, Romance",7.5,"A family takes in a formerly institutionalized teen savant who is missing standard human behaviors such as anger, joy, and love.","29,554"
1015,The Irregulars,(2021),TV-14,,"Crime, Drama, Fantasy",5.9,"Set in Victorian London, the series follows a gang of troubled street teens who are manipulated into solving crimes for the sinister Doctor Watson and his mysterious business partner, the elusive Sherlock Holmes.","15,210"
1016,Power Rangers Dino Fury,(2021– ),TV-Y7,21 min,"Action, Adventure, Comedy",6.8,"When an army of powerful alien beings is unleashed on Earth threatening life as we know it, a brand-new team of Power Rangers, fueled by the prehistoric power of the dinosaurs, are recruited to deal with the threat.",553
1017,Mudbound,(2017),R,134 min,"Drama, War",7.4,"Two men return home from World War II to work on a farm in rural Mississippi, where they struggle to deal with racism and adjusting to life after war.","49,339"
1018,Zoo,(2015–2017),TV-14,42 min,"Drama, Mystery, Sci-Fi",6.6,A young scientist searches to find out what's causing a rash of violent animal attacks.,"24,869"
1019,"Hello, Goodbye and Everything in Between",(2022),TV-14,82 min,"Comedy, Drama, Romance",5.0,"After making a pact to break up before college, Claire and Aidan retrace the steps of their relationship on one last epic date, revisiting familiar and unexpected places as they question: stay together or say goodbye forever?","2,725"
1020,Jo Koy: Live from the Los Angeles Forum,(2022 TV Special),TV-MA,74 min,Comedy,7.2,It follows Jo as he gushes about his relationship with his teenage son along with sharing the struggles of living with sleep apnea and much more.,419
1021,The Dragon Prince,(2018– ),TV-Y7,26 min,"Animation, Action, Adventure",8.4,"Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.","22,684"
1022,Killjoys,(2015–2019),TV-MA,42 min,"Action, Adventure, Sci-Fi",7.2,"In the Quad, a planetary system on the brink of a bloody interplanetary class war, a fun loving trio of bounty hunters attempt to remain impartial as they chase deadly warrants.","22,283"
1023,Eagle Eye,(2008),PG-13,118 min,"Action, Mystery, Thriller",6.6,"Jerry and Rachel are two strangers thrown together by a mysterious phone call from a woman they have never met. Threatening their lives and family, she pushes Jerry and Rachel into a series of increasingly dangerous situations, using the technology of everyday life to track and control their every move.","187,292"
1024,Oxygen,(2021),TV-14,100 min,"Drama, Fantasy, Sci-Fi",6.5,"A woman wakes in a cryogenic chamber with no recollection of how she got there. As she's running out of oxygen, she must rebuild her memory to find a way out of her nightmare.","38,611"
1025,Passing,(I) (2021),PG-13,98 min,Drama,6.7,"""Passing"" follows the unexpected reunion of two high school friends, whose renewed acquaintance ignites a mutual obsession that threatens both of their carefully constructed realities.","14,513"
1026,#Alive,(2020),TV-MA,98 min,"Action, Drama, Horror",6.3,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.","39,285"
1027,Late Night,(2019),R,102 min,"Comedy, Drama",6.5,A late night talk show host suspects that she may soon lose her long-running show.,"37,701"
1028,The Shack,(I) (2017),PG-13,132 min,"Drama, Fantasy",6.2,"A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack.""","36,034"
1029,Sweet Girl,(2021),R,110 min,"Action, Drama, Thriller",5.5,A devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left: his daughter.,"31,856"
1030,The Devil's Own,(1997),R,111 min,"Action, Crime, Drama",6.2,"A police officer uncovers the real identity of his house-guest, an I.R.A. terrorist in hiding.","66,112"
1031,Fawlty Towers,(1975–1979),TV-PG,30 min,Comedy,8.8,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.","92,910"
1032,The Forest,(2017),TV-MA,313 min,"Crime, Drama",7.2,"Sixteen-year-old Jennifer disappears one night from her village in the Ardennes. Captain Gaspard Deker leads the investigation with local cop Virginie Musso, who knew the girl well. They are helped by Eve, a lonely and mysterious woman.","10,638"
1033,This Means War,(2012),PG-13,103 min,"Action, Comedy, Romance",6.3,C.I.A. operatives wage an epic battle on each other when they discover they are dating the same woman.,"186,896"
1034,The Spy,(2019),TV-MA,53 min,"Drama, History",7.9,Based on the life of Israeli spy Eli Cohen.,"42,038"
1035,In from the Cold,(2022– ),TV-MA,42 min,"Action, Crime, Drama",6.2,"Exposed as an ex-Russian spy, an American single mom must juggle family life and unique shape-shifting skills in a battle against an insidious enemy.","7,572"
1036,The Day the Earth Stood Still,(2008),PG-13,104 min,"Adventure, Drama, Sci-Fi",5.5,A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.,"171,003"
1037,Smokin' Aces,(2006),R,108 min,"Action, Comedy, Crime",6.6,"When a Las Vegas performer-turned-snitch named Buddy Israel decides to turn state's evidence and testify against the mob, it seems that a whole lot of people would like to make sure he's no longer breathing.","145,893"
1038,Unknown,(I) (2011),PG-13,113 min,"Action, Mystery, Thriller",6.8,"When a man awakens from a coma only to discover that someone has taken on his identity, he teams up with a young woman to prove who he is.","261,643"
1039,An Easy Girl,(2019),TV-MA,92 min,"Comedy, Drama",5.6,"Naima is 16 and lives in Cannes. She has given herself the summer to choose what she wants to do with her life. Then her cousin Sofia, with her alluring lifestyle, arrives to spend the holidays with her.","5,226"
1040,The Ghost Writer,(2010),PG-13,128 min,"Crime, Drama, Mystery",7.2,"A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy.","164,272"
1041,What's Wrong with Secretary Kim,(2018),TV-G,60 min,"Comedy, Mystery, Romance",8.1,A romance between perfect but narcissistic second generation heir and his capable assistant.,"12,281"
1042,Tomorrow,(2022– ),TV-14,60 min,"Action, Comedy, Drama",7.8,"Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions.","9,161"
1043,Undercover,(2019– ),TV-MA,50 min,"Crime, Drama, Thriller",7.8,"Inspired by real events, undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends.","17,309"
1044,Kingdom,(2012– ),TV-MA,,"Animation, Action, Drama",8.4,"In ancient China, a young boy dreams of becoming the greatest general of the Qin Kingdom.","1,984"
1045,In the Tall Grass,(2019),TV-MA,101 min,"Horror, Mystery, Sci-Fi",5.4,"After hearing a young boy's cry for help, a sister and brother venture into a vast field of tall grass in Kansas but soon discover there may be no way out...and that something evil lurks within.","56,339"
1046,Finding 'Ohana,(2021),PG,123 min,"Action, Adventure, Comedy",6.1,"A summer in rural O‘ahu takes an exciting turn for two Brooklyn-raised siblings when a journal pointing to long-lost treasure sets them on an epic adventure with new friends, and leads them to reconnect with their Hawaiian heritage.","10,225"
1047,Pretty Hard Cases,(2021– ),TV-14,,"Comedy, Crime, Drama",6.5,"""Pretty Hard Cases"" follows Guns and Gangs detective Sam and Drug Squad detective Kelly. By day, they are heroes in their particular way: skilled, tough, determined, and entertaining, fighting to do good in a broken system.","1,852"
1048,Julie and the Phantoms,(2020),TV-G,,"Adventure, Comedy, Drama",8.4,"Julie is a teenage girl who finds her passion for music and life with the help of a high -concept band of teen boys (The Phantoms) who have been dead for 25 years. Julie, in turn, helps them become the band they were never able to be.","10,039"
1049,Live by Night,(2016),R,129 min,"Action, Thriller",6.4,"A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.","57,377"
1050,Last Man Down,(2021),R,87 min,"Action, Sci-Fi",4.3,"John Wood left the pieces of a broken civilisation behind, to go back to his roots in the woodland, after a virus pandemic struck the world.","13,092"
1051,Someone Great,(2019),R,92 min,"Comedy, Romance",6.1,"After a devastating break up on the eve of her cross-country move, Jenny enjoys one last NYC adventure with her two best pals. Someone Great is a romantic comedy about love, loss, growth and the everlasting bond of female friendship.","22,717"
1052,Lost Girls,(2020),R,95 min,"Crime, Drama, Mystery",6.1,"When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.","21,978"
1053,Pine Gap,(2018),TV-MA,360 min,"Drama, Mystery, Thriller",7.1,"Set in the intensely secretive world of intelligence and the enigmatic US/Australia joint defence facility in central Australia, the spy-thriller Pine Gap delves into the famously strong alliance between the two countries.","5,163"
1054,Karppi,(2018–2021),TV-MA,45 min,"Crime, Drama, Mystery",7.3,"When Sofia Karppi discovers the body of a young woman on a construction site, she triggers a chain of events that threatens to destroy her life--again.","9,473"
1055,The Midnight Gospel,(2020),TV-MA,23 min,"Animation, Adventure, Comedy",8.2,"Clancy, a spacecaster with a malfunctioning multiverse simulator, leaves the comfort of his home to interview beings living in dying worlds.","18,939"
1056,Snabba Cash,(2021– ),TV-MA,52 min,"Action, Crime, Drama",7.6,"The entrepreneurial jet set and the criminal world are more brutal, chaotic, and ruthless than ever. When these two worlds collide, loyalty, friendships, and business partners will be tested in the never-ending quest for easy money.","8,775"
1057,Fresh Meat,(2011–2016),TV-MA,50 min,"Comedy, Drama",7.8,"A comedy that follows a group of six students about to embark on the most exciting period of their lives so far, university.","17,984"
1058,Thunder Force,(2021),PG-13,106 min,"Action, Adventure, Comedy",4.5,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.","41,955"
1059,Fear Street: Part Three - 1666,(2021),R,114 min,"Horror, Mystery",6.6,The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.,"52,059"
1060,Limitless,(2015–2016),TV-14,42 min,"Comedy, Crime, Drama",7.6,An average 28-year-old man who gains the ability to use the full extent of his brain's capabilities is hired by the F.B.I. as a consultant.,"67,426"
1061,Alba,(2021),TV-MA,50 min,Drama,6.4,A chain of events is kickstarted when a young girl is gang-raped by four boys.,"1,351"
1062,Blockbuster,(2022– ),,30 min,Comedy,,"Set in the last Blockbuster Video in America, explores what it takes and who it takes for a small business to succeed.",
1063,Young Wallander,(2020– ),TV-MA,,"Crime, Drama, Mystery",6.9,Follow recently graduated police officer Kurt Wallander as he investigates his first case.,"11,645"
1064,Greenleaf,(2016–2020),TV-14,60 min,Drama,7.4,"The unscrupulous world of the Greenleaf family and their sprawling Memphis megachurch, dark secrets and lies.","5,311"
1065,The Silence,(II) (2019),PG-13,90 min,"Drama, Horror, Sci-Fi",5.3,"When the world is under attack from terrifying creatures who hunt their human prey by sound, 16-year old Ally Andrews (Kiernan Shipka), who lost her hearing at 13, and her family seek refuge in a remote haven.","45,389"
1066,Rumor Has It...,(2005),PG-13,97 min,"Comedy, Drama, Romance",5.5,"Sarah Huttinger is a woman who learns that her family was the inspiration for the book and film ""The Graduate"" -- and that she just might be the offspring of the well-documented event.","58,670"
1067,Malcolm X,(1992),PG-13,202 min,"Biography, Drama, History",7.7,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.","94,756"
1068,The Great Gatsby,(1974),PG,144 min,"Drama, Romance",6.4,"A Midwesterner becomes fascinated with his nouveau riche neighbor, who obsesses over his lost love.","25,241"
1069,Red Riding Hood,(2011),PG-13,100 min,"Fantasy, Horror, Mystery",5.4,"Set in a medieval village that is haunted by a werewolf, a young girl falls for an orphaned woodcutter, much to her family's displeasure.","112,459"
1070,Devilman: Crybaby,(2018),TV-MA,25 min,"Animation, Action, Drama",7.6,"With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo.","20,303"
1071,Salvation,(2017–2018),TV-14,43 min,"Drama, Sci-Fi, Thriller",6.9,An MIT grad student and a tech superstar bring a low-level Pentagon official a staggering discovery--that an asteroid is just six months away from colliding with Earth.,"22,443"
1072,Black Spot,(2017– ),TV-MA,52 min,"Crime, Drama, Horror",7.4,A police chief and an eccentric new prosecutor investigate a string of grisly crimes and eerie phenomena in an isolated town at the edge of a forest.,"11,502"
1073,Slumberland,(2022),PG,117 min,"Adventure, Comedy, Family",,"A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again.",
1074,Hell's Kitchen,(2005– ),TV-14,42 min,"Game-Show, Reality-TV",7.1,"World renowned chef Gordon Ramsay puts aspiring young chefs through rigorous cooking challenges and dinner services at his restaurant in Hollywood, ""Hell's Kitchen"".","20,887"
1075,Calibre,(2018),TV-MA,101 min,"Drama, Thriller",6.8,A shocking deed turned their weekend trip into a nightmare. Now their only hope is to swallow their paranoia and act normal.,"29,430"
1076,Violet Evergarden,(2018),TV-14,24 min,"Animation, Drama, Fantasy",8.4,"In the aftermath of a great war, Violet Evergarden, a young female ex-soldier, gets a job at a writers' agency and goes on assignments to create letters that can connect people.","21,825"
1077,Two Summers,(2022– ),TV-MA,45 min,"Drama, Thriller",6.8,"Group of friends get together thirty years after one of the members died in an accident. A relaxing vacation changes into a nightmare, when some of the friends are blackmailed with footage from that terrible week three decades ago.","3,319"
1078,Hot Girls Wanted,(2015),TV-MA,84 min,Documentary,6.1,A documentary about young women who have been drawn into the sex trade - and how easy it is for a web-savvy generation to end up making porn.,"17,679"
1079,Klaus,(2019),PG,96 min,"Animation, Adventure, Comedy",8.1,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","146,975"
1080,Boyka: Undisputed,(2016 Video),R,86 min,"Action, Drama, Sport",6.9,"In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for.","29,267"
1081,Before I Wake,(2016),PG-13,97 min,"Drama, Fantasy, Horror",6.2,A couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.,"46,899"
1082,Fenced In,(2022),TV-MA,110 min,"Comedy, Family, Fantasy",4.4,Walter moves from the city out to the countryside after a nervous breakdown. But his dream of a peaceful life is ruined when he meets his loud neighbors.,399
1083,Love & Anarchy,(2020– ),TV-MA,30 min,"Comedy, Drama, Romance",7.4,"When Sofie, a career-driven consultant and married mother of two, gets an assignment to modernize an old publishing house, she meets young IT tech Max and an unexpected flirting game begins.","9,989"
1084,Sheng Wang: Sweet and Juicy,(2022 TV Special),,60 min,Comedy,7.7,"Sheng Wang delivers a laid-back set on juicing, mammograms, how snoring is an evolutionary mistake and the existential angst of buying pants from Costco.",436
1085,Spinning Out,(2020),TV-MA,48 min,"Drama, Sport",7.6,"A figure skating Olympic hopeful's struggle to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.","14,613"
1086,Intimacy,(2022),TV-MA,50 min,"Crime, Drama",6.8,"A compromising sexual video featuring a promising politician, it depicts the lives of four women forced to walk the line between public and private life.","2,367"
1087,Horse Girl,(I) (2020),R,103 min,"Drama, Mystery, Thriller",5.9,"Sarah, a socially isolated woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.","17,923"
1088,Love & Gelato,(2022),TV-14,110 min,"Comedy, Drama, Romance",5.1,"Lina makes a promise to her sick mother that she'll spend the summer before college in Rome, where she falls for the city, the people - and the ""gelato"".","4,869"
1089,Ezel,(2009–2011),TV-14,90 min,"Crime, Drama, Thriller",8.7,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.","32,693"
1090,Operation Finale,(2018),PG-13,122 min,"Biography, Drama, History",6.6,A team of secret agents set out to track down the Nazi officer who masterminded the Holocaust.,"42,606"
1091,Wanderlust,(2018),TV-MA,60 min,Drama,7.0,A therapist tries to save her marriage after a cycling accident causes them to reassess their relationship.,"5,435"
1092,Start-Up,(2020– ),TV-14,80 min,"Comedy, Drama, Romance",8.0,Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry.,"10,280"
1093,To the Bone,(I) (2017),TV-MA,107 min,Drama,6.8,"A young woman, dealing with anorexia, meets an unconventional doctor who challenges her to face her condition and embrace life.","49,505"
1094,The Red Sea Diving Resort,(2019),TV-MA,129 min,"Drama, History, Thriller",6.6,Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.,"29,469"
1095,Troy: Fall of a City,(2018– ),TV-MA,60 min,"Action, Adventure, Fantasy",3.9,"Retells the story of the 10 year siege of Troy, which occurred in the 12 or 13th century BC.","14,059"
1096,The Infiltrator,(2016),R,127 min,"Biography, Crime, Drama",7.0,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,"74,191"
1097,Hotel Transylvania 3: Summer Vacation,(2018),PG,97 min,"Animation, Adventure, Comedy",6.3,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.","73,751"
1098,Cable Girls,(2017–2020),TV-14,50 min,Drama,7.5,"Set in the 1920s, this is the story of four women from different backgrounds newly hired as operators for a phone company.","14,548"
1099,You Get Me,(2017),TV-MA,89 min,"Crime, Drama, Romance",4.7,"A one night stand turns into a nightmare for a High School student, when the obsession of a young woman grows dangerous.","13,225"
1100,The Perfection,(2018),TV-MA,90 min,"Drama, Horror, Music",6.2,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.","43,524"
